type,array_length,time,try
seq_mul_reduce,8001000,0.0619275270,3
simd_mul_reduce,8001000,0.0044050720,3
seq_mul,8001000,0.0427203910,4
simd_mul,8001000,0.0064698900,4
seq_mul_reduce,8001000,0.0635433410,4
simd_mul_reduce,8001000,0.0067366270,4
seq_mul,8001000,0.0761484780,5
simd_mul,8001000,0.0108516520,5
seq_mul_reduce,8001000,0.1200516310,5
simd_mul_reduce,8001000,0.0084871170,5
seq_mul,8001000,0.0775704680,6
simd_mul,8001000,0.0111412860,6
seq_mul_reduce,8001000,0.1015100250,6
simd_mul_reduce,8001000,0.0043911360,6
seq_mul,8001000,0.0419521960,7
simd_mul,8001000,0.0068202570,7
seq_mul_reduce,8001000,0.0624766070,7
simd_mul_reduce,8001000,0.0043232730,7
seq_mul,8001000,0.0414256450,8
simd_mul,8001000,0.0067595700,8
seq_mul_reduce,8001000,0.0622993890,8
simd_mul_reduce,8001000,0.0043748450,8
seq_mul,8001000,0.0419750570,9
simd_mul,8001000,0.0068171900,9
seq_mul_reduce,8001000,0.0624520020,9
simd_mul_reduce,8001000,0.0043372410,9
seq_mul,9001000,0.0469455910,0
simd_mul,9001000,0.0076624750,0
seq_mul_reduce,9001000,0.0699218870,0
simd_mul_reduce,9001000,0.0050989540,0
seq_mul,9001000,0.0468436950,1
simd_mul,9001000,0.0081038830,1
seq_mul_reduce,9001000,0.0709166290,1
simd_mul_reduce,9001000,0.0049301440,1
seq_mul,9001000,0.0467748540,2
simd_mul,9001000,0.0073023060,2
seq_mul_reduce,9001000,0.0705101670,2
simd_mul_reduce,9001000,0.0049836840,2
seq_mul,9001000,0.0482887470,3
simd_mul,9001000,0.0084946230,3
seq_mul_reduce,9001000,0.0710588000,3
simd_mul_reduce,9001000,0.0050252830,3
seq_mul,9001000,0.0473361230,4
simd_mul,9001000,0.0079584040,4
seq_mul_reduce,9001000,0.0707043760,4
simd_mul_reduce,9001000,0.0049188960,4
seq_mul,9001000,0.0483718390,5
simd_mul,9001000,0.0096880660,5
seq_mul_reduce,9001000,0.1246475940,5
simd_mul_reduce,9001000,0.0093090620,5
seq_mul,9001000,0.0854018320,6
simd_mul,9001000,0.0127424760,6
seq_mul_reduce,9001000,0.1335027100,6
simd_mul_reduce,9001000,0.0090258320,6
seq_mul,9001000,0.0629103880,7
simd_mul,9001000,0.0070813760,7
seq_mul_reduce,9001000,0.0707009850,7
simd_mul_reduce,9001000,0.0050879370,7
seq_mul,9001000,0.0478308840,8
simd_mul,9001000,0.0092360820,8
