
 1572864,   8,    196608,     0.120 GigaMultsPerSecond
 2097152,   8,    262144,     0.082 GigaMultsPerSecond
 2621440,   8,    327680,     0.149 GigaMultsPerSecond
 3145728,   8,    393216,     4.683 GigaMultsPerSecond
 3670016,   8,    458752,     2.944 GigaMultsPerSecond
 4194304,   8,    524288,     3.022 GigaMultsPerSecond
 4718592,   8,    589824,     1.428 GigaMultsPerSecond
 5242880,   8,    655360,     2.412 GigaMultsPerSecond
 5767168,   8,    720896,     5.535 GigaMultsPerSecond
 6291456,   8,    786432,     8.031 GigaMultsPerSecond
 6815744,   8,    851968,     3.029 GigaMultsPerSecond
 7340032,   8,    917504,     0.052 GigaMultsPerSecond
 7864320,   8,    983040,     4.375 GigaMultsPerSecond
 8388608,   8,   1048576,     0.911 GigaMultsPerSecond
  524288,  16,     32768,     0.073 GigaMultsPerSecond
 1048576,  16,     65536,     0.513 GigaMultsPerSecond
 1572864,  16,     98304,     0.013 GigaMultsPerSecond
 2097152,  16,    131072,     0.606 GigaMultsPerSecond
 2621440,  16,    163840,     0.380 GigaMultsPerSecond
 3145728,  16,    196608,     0.113 GigaMultsPerSecond
 3670016,  16,    229376,     1.367 GigaMultsPerSecond
 4194304,  16,    262144,     0.473 GigaMultsPerSecond
 4718592,  16,    294912,     0.035 GigaMultsPerSecond
 5242880,  16,    327680,     0.881 GigaMultsPerSecond
 5767168,  16,    360448,     2.560 GigaMultsPerSecond
 6291456,  16,    393216,     0.823 GigaMultsPerSecond
 6815744,  16,    425984,     3.230 GigaMultsPerSecond
 7340032,  16,    458752,     1.761 GigaMultsPerSecond
 7864320,  16,    491520,     0.290 GigaMultsPerSecond
 8388608,  16,    524288,     0.583 GigaMultsPerSecond
  524288,  32,     16384,     0.173 GigaMultsPerSecond
 1048576,  32,     32768,     0.488 GigaMultsPerSecond
 1572864,  32,     49152,     0.204 GigaMultsPerSecond
 2097152,  32,     65536,     0.114 GigaMultsPerSecond
 2621440,  32,     81920,     2.512 GigaMultsPerSecond
 3145728,  32,     98304,     1.029 GigaMultsPerSecond
 3670016,  32,    114688,     0.757 GigaMultsPerSecond
 4194304,  32,    131072,     2.653 GigaMultsPerSecond
 4718592,  32,    147456,     2.755 GigaMultsPerSecond
 5242880,  32,    163840,     0.783 GigaMultsPerSecond
 5767168,  32,    180224,     1.572 GigaMultsPerSecond
 6291456,  32,    196608,     0.947 GigaMultsPerSecond
 6815744,  32,    212992,     1.024 GigaMultsPerSecond
 7340032,  32,    229376,     0.060 GigaMultsPerSecond
 7864320,  32,    245760,     1.231 GigaMultsPerSecond
 8388608,  32,    262144,     5.186 GigaMultsPerSecond
  524288, 128,      4096,     0.299 GigaMultsPerSecond
 1048576, 128,      8192,     0.832 GigaMultsPerSecond
 1572864, 128,     12288,     1.003 GigaMultsPerSecond
 2097152, 128,     16384,     0.174 GigaMultsPerSecond
 2621440, 128,     20480,     0.232 GigaMultsPerSecond
 3145728, 128,     24576,     4.275 GigaMultsPerSecond
 3670016, 128,     28672,     4.907 GigaMultsPerSecond
 4194304, 128,     32768,     0.326 GigaMultsPerSecond
 4718592, 128,     36864,     0.694 GigaMultsPerSecond
 5242880, 128,     40960,     0.216 GigaMultsPerSecond
 5767168, 128,     45056,     0.460 GigaMultsPerSecond
 6291456, 128,     49152,     0.520 GigaMultsPerSecond
 6815744, 128,     53248,     0.045 GigaMultsPerSecond
 7340032, 128,     57344,     5.666 GigaMultsPerSecond
 7864320, 128,     61440,     5.753 GigaMultsPerSecond
 8388608, 128,     65536,     6.108 GigaMultsPerSecond
  524288, 256,      2048,     0.050 GigaMultsPerSecond
